method,weather,rep,bag,bias_offset,duration_s,total_frames,lane_hz,cte_hz,ctrl_hz,odom_hz,cte_rmse,cte_max,cte_p95,cte_mean,off_lane_pct,drop_rate_pct,steer_jitter,steer_std,mean_speed_mps,max_speed_mps
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.00913,42.7,910,21.28,21.28,21.38,21.28,0.0252,0.0609,0.0564,0.0201,0.0,1.87,0.007,0.0008,4.629,5.153
pure_vision,clear,2,pure_vision_clear_rep2_20260511_173518,0.009603,43.0,911,21.16,21.17,21.25,21.17,0.0461,0.0925,0.0836,0.0418,0.0,1.76,0.0075,0.001,4.609,5.121
pure_vision,clear,3,pure_vision_clear_rep3_20260511_175127,0.008085,42.1,910,21.61,21.62,21.73,21.62,0.031,0.0425,0.0414,0.029,0.0,1.54,0.0076,0.0005,4.616,5.121
pure_vision,fog,1,pure_vision_fog_rep1_20260511_172011,0.008497,40.1,917,22.84,22.84,22.94,22.84,0.011,0.0189,0.0177,0.0097,0.0,2.18,0.0118,0.0006,4.581,5.121
pure_vision,fog,2,pure_vision_fog_rep2_20260511_173627,0.008398,40.1,913,22.76,22.77,22.88,22.77,0.0113,0.0215,0.0168,0.0099,0.0,1.75,0.0168,0.0007,4.604,5.121
pure_vision,fog,3,pure_vision_fog_rep3_20260511_175235,0.008562,39.3,912,23.2,23.2,23.32,23.2,0.0294,0.0612,0.0502,-0.0191,0.0,1.97,0.017,0.0008,4.618,5.153
pure_vision,night,1,pure_vision_night_rep1_20260511_172117,0.01061,53.4,900,16.84,16.85,16.89,16.85,0.0449,0.0923,0.0828,0.0031,0.0,0.56,0.0444,0.0031,4.677,5.153
pure_vision,night,2,pure_vision_night_rep2_20260511_173734,0.0108,53.6,903,16.82,16.82,16.87,16.82,0.0342,0.0885,0.0753,0.027,0.0,0.55,0.0382,0.0022,4.659,5.121
pure_vision,night,3,pure_vision_night_rep3_20260511_175341,0.010916,52.7,904,17.12,17.12,17.18,17.12,0.0401,0.0894,0.0728,0.0339,0.0,0.0,0.0616,0.0034,4.688,5.121
pure_vision,rain,1,pure_vision_rain_rep1_20260511_171751,0.006571,44.3,909,20.49,20.49,20.57,20.49,0.0287,0.0465,0.0453,-0.0213,0.0,1.76,0.0207,0.0012,4.616,5.121
pure_vision,rain,2,pure_vision_rain_rep2_20260511_173407,0.006845,44.6,910,20.42,20.42,20.52,20.42,0.0303,0.0747,0.0657,0.0016,0.0,1.65,0.0227,0.0012,4.609,5.121
pure_vision,rain,3,pure_vision_rain_rep3_20260511_175016,0.006208,43.9,914,20.84,20.84,20.92,20.84,0.0312,0.0494,0.0474,-0.0236,0.0,2.08,0.0186,0.0012,4.593,5.121
scnn,clear,1,scnn_clear_rep1_20260511_172408,0.011822,54.7,890,16.26,16.49,16.53,16.49,0.0258,0.0479,0.0444,-0.0215,0.0,0.34,0.0052,0.0007,4.675,5.153
scnn,clear,2,scnn_clear_rep2_20260511_174024,0.011852,55.4,885,15.93,16.27,16.29,16.27,0.024,0.0488,0.0366,-0.0215,0.0,0.45,0.0053,0.0007,4.675,5.153
scnn,clear,3,scnn_clear_rep3_20260511_175630,0.011866,54.2,881,16.23,16.58,16.61,16.58,0.0234,0.0493,0.0409,-0.0187,0.0,0.0,0.0052,0.0007,4.7,5.153
scnn,fog,1,scnn_fog_rep1_20260511_172533,0.011654,52.0,860,16.53,17.45,17.5,17.45,0.0149,0.0465,0.0383,0.0019,0.0,0.23,0.002,0.0006,4.665,5.121
scnn,fog,2,scnn_fog_rep2_20260511_174151,0.011655,51.5,857,16.59,17.46,17.51,17.46,0.0174,0.0416,0.0338,-0.0095,0.0,0.23,0.0028,0.0007,4.688,5.153
scnn,fog,3,scnn_fog_rep3_20260511_175755,0.011657,50.5,845,16.73,17.87,17.9,17.87,0.0183,0.0334,0.0318,-0.0048,0.0,0.0,0.003,0.0008,4.677,5.153
scnn,night,1,scnn_night_rep1_20260511_172656,0.012647,69.9,894,12.77,12.77,12.8,12.77,0.0226,0.0475,0.043,-0.0171,0.0,1.12,0.0056,0.0008,4.72,5.153
scnn,night,2,scnn_night_rep2_20260511_174313,0.01265,70.5,896,12.69,12.7,12.74,12.7,0.0102,0.0283,0.0258,-0.0025,0.0,1.12,0.005,0.0006,4.696,5.121
scnn,night,3,scnn_night_rep3_20260511_175916,0.012651,68.4,897,13.1,13.11,13.14,13.11,0.0084,0.0216,0.0199,-0.0016,0.0,1.0,0.0072,0.0007,4.69,5.121
scnn,rain,1,scnn_rain_rep1_20260511_172241,0.012139,56.6,897,15.83,15.87,15.93,15.87,0.0183,0.0389,0.0338,-0.0126,0.0,0.89,0.0054,0.0006,4.7,5.153
scnn,rain,2,scnn_rain_rep2_20260511_173857,0.012147,56.7,901,15.87,15.9,15.94,15.9,0.0081,0.0164,0.016,0.0035,0.0,1.0,0.0067,0.0006,4.664,5.121
scnn,rain,3,scnn_rain_rep3_20260511_175503,0.012144,55.7,898,16.11,16.15,16.18,16.15,0.0224,0.042,0.0393,-0.0077,0.0,1.0,0.0053,0.0009,4.704,5.153
yolo,clear,1,yolo_clear_rep1_20260511_171342,0.01039,50.2,902,17.96,17.97,18.05,17.97,0.0071,0.0206,0.0184,-0.0014,0.0,1.22,0.0054,0.0004,4.659,5.121
yolo,clear,2,yolo_clear_rep2_20260511_172957,0.010405,50.5,902,17.84,17.85,17.9,17.85,0.023,0.0448,0.0387,0.0138,0.0,1.11,0.0233,0.001,4.689,5.153
yolo,clear,3,yolo_clear_rep3_20260511_174613,0.010377,48.5,909,18.72,18.72,18.77,18.72,0.0088,0.0241,0.0217,-0.0029,0.0,1.54,0.0135,0.0007,4.624,5.121
yolo,fog,1,yolo_fog_rep1_20260511_171502,0.010531,47.3,890,18.8,19.1,19.18,19.1,0.027,0.0434,0.0385,-0.0248,0.0,0.22,0.0162,0.0008,4.666,5.153
yolo,fog,2,yolo_fog_rep2_20260511_173117,0.010531,48.3,902,18.67,18.83,18.87,18.83,0.0111,0.0326,0.0284,-0.0076,0.0,0.78,0.0038,0.0005,4.66,5.121
yolo,fog,3,yolo_fog_rep3_20260511_174731,0.010534,47.1,911,19.33,19.34,19.41,19.34,0.0188,0.0605,0.0536,-0.0101,0.0,1.54,0.0048,0.0006,4.651,5.121
yolo,night,1,yolo_night_rep1_20260511_171620,0.011563,63.9,895,13.99,13.99,14.03,13.99,0.0358,0.0676,0.065,0.0208,0.0,1.12,0.0086,0.001,4.716,5.152
yolo,night,2,yolo_night_rep2_20260511_173235,0.011554,64.4,900,13.97,13.98,13.99,13.98,0.015,0.0257,0.0234,0.0123,0.0,1.33,0.0101,0.0007,4.671,5.121
yolo,night,3,yolo_night_rep3_20260511_174848,0.011546,61.1,896,14.64,14.64,14.68,14.64,0.0083,0.0216,0.0175,-0.0053,0.0,1.23,0.0049,0.0005,4.711,5.153
yolo,rain,1,yolo_rain_rep1_20260511_171219,0.010446,52.4,905,17.24,17.25,17.3,17.25,0.0235,0.0447,0.0415,0.0175,0.0,1.33,0.0118,0.0009,4.661,5.153
yolo,rain,2,yolo_rain_rep2_20260511_172835,0.010453,51.4,901,17.52,17.52,17.58,17.52,0.02,0.0384,0.0327,-0.0174,0.0,1.33,0.0066,0.0005,4.676,5.153
