method,weather,n_repeats,cte_rmse_mean,cte_rmse_std,off_lane_pct_mean,off_lane_pct_std,steer_jitter_mean,steer_jitter_std,center_diff_std_mean,center_diff_std_std
pure_vision,clear,3,0.0341,0.0108,0.0,0.0,0.0074,0.0003,0.0012,0.0001
pure_vision,fog,3,0.0172,0.0105,0.0,0.0,0.0152,0.0029,0.0024,0.0003
pure_vision,night,3,0.0397,0.0054,0.0,0.0,0.0481,0.0121,0.0071,0.0007
pure_vision,rain,3,0.0301,0.0013,0.0,0.0,0.0207,0.0021,0.0028,0.0003
scnn,clear,3,0.0244,0.0012,0.0,0.0,0.0052,0.0001,0.0016,0.0
scnn,fog,3,0.0169,0.0018,0.0,0.0,0.0026,0.0005,0.0008,0.0002
scnn,night,3,0.0137,0.0077,0.0,0.0,0.0059,0.0011,0.0018,0.0001
scnn,rain,3,0.0163,0.0074,0.0,0.0,0.0058,0.0008,0.0014,0.0001
yolo,clear,3,0.013,0.0087,0.0,0.0,0.0141,0.009,0.004,0.0028
yolo,fog,3,0.019,0.008,0.0,0.0,0.0083,0.0069,0.0022,0.0018
yolo,night,3,0.0197,0.0143,0.0,0.0,0.0079,0.0027,0.0027,0.0012
yolo,rain,3,0.0219,0.0018,0.0,0.0,0.0109,0.0039,0.0033,0.001
