method,weather,rep,bag,time_s,cte_m,center,detected,steer,speed_mps,pos_x,pos_y
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.0,0.00023,0.50594,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.051,0.00023,0.50719,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.105,0.00023,0.50719,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.158,0.00023,0.50687,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.21,0.00023,0.50813,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.271,0.00023,0.50719,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.324,0.00023,0.50594,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.378,0.00023,0.50625,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.432,0.00023,0.50781,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.489,0.00023,0.50781,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.547,0.00023,0.50719,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.607,0.00023,0.50687,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.662,0.00023,0.50813,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.717,0.00023,0.50813,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.772,0.00023,0.50625,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.829,0.00023,0.50781,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.882,0.00023,0.50656,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.935,0.00023,0.50594,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,0.993,0.00023,0.50781,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.05,0.00023,0.50625,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.111,0.00023,0.50719,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.165,0.00023,0.50719,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.22,0.00023,0.50719,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.275,0.00023,0.50563,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.332,0.00023,0.50781,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.397,0.00023,0.50687,True,,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.508,0.00023,0.50563,True,-0.00431,0.0,317.09906005859375,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.561,0.00023,0.50813,True,-0.00431,0.0016,317.0990905761719,-195.1586456298828
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.618,0.00024,0.50687,True,-0.00431,0.0008,317.0990905761719,-195.15866088867188
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.671,0.00024,0.50656,True,-0.00491,0.0098,317.0975036621094,-195.15866088867188
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.729,0.00024,0.50687,True,-0.00431,0.0869,317.0951232910156,-195.15866088867188
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.783,0.00027,0.50594,True,-0.00611,0.1317,317.09185791015625,-195.15869140625
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.84,0.00024,0.50719,True,-0.00372,0.1744,317.0859680175781,-195.15866088867188
pure_vision,clear,1,pure_vision_clear_rep1_20260511_171902,1.897,0.0004,0.50656,True,-0.00491,0.1986,317.0751037597656,-195.15879821777344
