method,weather,total_frames,detected,det_rate_%,center_mean,center_std,center_diff_std,err_mean,err_std,lx_mean,lx_std,lx_diff_std,rx_mean,rx_std,rx_diff_std,lane_width_mean,conf_mean,fps
SCNN,rain,1100,1100,100.0,0.5108,0.0003,0.0002,0.0108,0.0003,395.5,0.38,0.39,1239.02,0.77,0.65,760.0,0.0,18.3
YOLO,rain,1099,1099,100.0,0.5105,0.0001,0.0001,0.0105,0.0001,399.27,0.13,0.09,1234.18,0.13,0.16,760.0,0.9622,18.3
Pure Vision,rain,1099,1099,100.0,0.5089,0.0016,0.002,0.0089,0.0016,402.61,0.69,0.94,1225.85,4.98,6.15,760.0,0.0,18.3
SCNN,clear,1131,1131,100.0,0.5112,0.0,0.0,0.0112,0.0,397.7,0.1,0.14,1238.28,0.04,0.06,760.0,0.0,18.9
YOLO,clear,1130,1130,100.0,0.5106,0.0001,0.0,0.0106,0.0001,399.25,0.21,0.1,1234.58,0.05,0.04,760.0,0.9681,18.9
Pure Vision,clear,1130,1130,100.0,0.5068,0.0007,0.0009,0.0068,0.0007,403.19,0.6,0.85,1218.6,2.02,2.9,760.0,0.0,18.9
SCNN,fog,1125,1125,100.0,0.5117,0.0,0.0,0.0117,0.0,396.96,0.06,0.08,1240.4,0.13,0.15,760.0,0.0,18.8
YOLO,fog,1126,1126,100.0,0.5116,0.0,0.0001,0.0116,0.0,400.04,0.08,0.13,1236.94,0.1,0.1,760.0,0.9494,18.8
Pure Vision,fog,1126,1126,100.0,0.5111,0.0012,0.0017,0.0111,0.0012,403.13,0.71,1.0,1232.53,3.66,5.28,760.0,0.0,18.8
SCNN,night,785,785,100.0,0.5113,0.0002,0.0002,0.0113,0.0002,392.72,0.29,0.23,1243.37,0.61,0.81,760.0,0.0,13.1
YOLO,night,784,784,100.0,0.5105,0.0001,0.0001,0.0105,0.0001,400.72,0.11,0.13,1232.91,0.24,0.2,760.0,0.962,13.1
Pure Vision,night,783,783,100.0,0.5066,0.0045,0.0064,0.0072,0.0033,403.08,2.39,2.52,1218.0,14.38,20.58,760.0,0.0,13.1
