method,weather,total_frames,detected,det_rate_%,center_mean,center_std,center_diff_std,err_mean,err_std,lx_mean,lx_std,lx_diff_std,rx_mean,rx_std,rx_diff_std,lane_width_mean,conf_mean,fps
Pure Vision,rain,1180,1180,100.0,0.509,0.0016,0.0019,0.0089,0.0016,402.63,0.69,0.95,1226.14,4.98,6.03,760.0,0.0,19.7
SCNN,rain,1179,1179,100.0,0.5108,0.0003,0.0002,0.0107,0.0003,395.5,0.34,0.36,1238.99,0.74,0.64,760.0,0.0,19.7
YOLO,rain,1179,1179,100.0,0.5105,0.0001,0.0001,0.0104,0.0001,399.26,0.12,0.09,1234.19,0.13,0.15,760.0,0.9624,19.7
Pure Vision,clear,1169,1169,100.0,0.5068,0.0006,0.0009,0.0067,0.0006,403.21,0.59,0.83,1218.5,1.96,2.75,760.0,0.0,19.5
SCNN,clear,1169,1169,100.0,0.5112,0.0,0.0,0.0112,0.0,397.7,0.08,0.1,1238.29,0.04,0.06,760.0,0.0,19.5
YOLO,clear,1169,1169,100.0,0.5106,0.0001,0.0,0.0105,0.0001,399.24,0.21,0.09,1234.58,0.05,0.05,760.0,0.9681,19.5
Pure Vision,fog,1168,1168,100.0,0.5111,0.0012,0.0017,0.0111,0.0012,403.11,0.71,1.04,1232.47,3.66,5.36,760.0,0.0,19.5
SCNN,fog,1165,1165,100.0,0.5117,0.0,0.0,0.0116,0.0,396.96,0.06,0.08,1240.39,0.13,0.15,760.0,0.0,19.4
YOLO,fog,1168,1168,100.0,0.5116,0.0,0.0001,0.0115,0.0,400.04,0.08,0.13,1236.94,0.1,0.1,760.0,0.9494,19.5
Pure Vision,night,822,822,100.0,0.5061,0.0049,0.007,0.0069,0.0034,403.04,0.79,1.07,1216.47,15.47,22.33,760.0,0.0,13.7
SCNN,night,825,825,100.0,0.5113,0.0002,0.0002,0.0112,0.0002,392.73,0.35,0.25,1243.36,0.62,0.8,760.0,0.0,13.8
YOLO,night,822,822,100.0,0.5105,0.0001,0.0001,0.0105,0.0001,400.72,0.12,0.13,1232.91,0.23,0.2,760.0,0.962,13.7
